id,name,image,detail,category_id,price,stock,status,create_time,update_time
1,Chocolate Cookies,http://127.0.0.1:8080/images/1.png,Treat yourself to one of our tempting yet affordable Chocolate Cookies.  It make for a quick and tasty meal treat.,29,1126,317,1,2023/1/1 9:00,2023/1/1 9:00
2,Spaghetti with Meat Sauce,http://127.0.0.1:8080/images/2.png,Treat yourself to one of our tempting yet affordable Spaghetti with Meat Sauce.  It make for a quick and tasty meal treat.,55,2936,400,1,2023/1/1 9:00,2023/1/1 9:00
3,Coconut Cream Puff with Oreo Cookies,http://127.0.0.1:8080/images/3.png,Treat yourself to one of our tempting yet affordable Coconut Cream Puff with Oreo Cookies.  It make for a quick and tasty meal treat.,27,1699,467,1,2023/1/1 9:00,2023/1/1 9:00
4,Original Toast,http://127.0.0.1:8080/images/4.png,Treat yourself to one of our tempting yet affordable Original Toast.  It make for a quick and tasty meal treat.,49,338,302,1,2023/1/1 9:00,2023/1/1 9:00
5,"Bacon, Sausage & Egg Wrap",http://127.0.0.1:8080/images/5.png,"Treat yourself to one of our tempting yet affordable Bacon, Sausage & Egg Wrap.  It make for a quick and tasty meal treat.",92,2631,478,1,2023/1/1 9:00,2023/1/1 9:00
6,Insulated Stainless Steel Water Bottle,http://127.0.0.1:8080/images/6.png,Treat yourself to one of our tempting yet affordable Insulated Stainless Steel Water Bottle.  It make for a quick and tasty meal treat.,37,1194,388,1,2023/1/1 9:00,2023/1/1 9:00
7,Double Cheese & Ham Sandwich,http://127.0.0.1:8080/images/7.png,Treat yourself to one of our tempting yet affordable Double Cheese & Ham Sandwich.  It make for a quick and tasty meal treat.,82,465,254,1,2023/1/1 9:00,2023/1/1 9:00
8,"Bacon, Sausage & Egg Wrap",http://127.0.0.1:8080/images/8.png,"Treat yourself to one of our tempting yet affordable Bacon, Sausage & Egg Wrap.  It make for a quick and tasty meal treat.",60,865,466,1,2023/1/1 9:00,2023/1/1 9:00
9,Milk Cream Roll Cake,http://127.0.0.1:8080/images/9.png,Treat yourself to one of our tempting yet affordable Milk Cream Roll Cake.  It make for a quick and tasty meal treat.,34,1383,171,1,2023/1/1 9:00,2023/1/1 9:00
10,Spaghetti with Meat Sauce,http://127.0.0.1:8080/images/10.png,Treat yourself to one of our tempting yet affordable Spaghetti with Meat Sauce.  It make for a quick and tasty meal treat.,89,1262,56,1,2023/1/1 9:00,2023/1/1 9:00
11,Expresso,http://127.0.0.1:8080/images/11.png,Treat yourself to one of our tempting yet affordable Expresso.  It make for a quick and tasty meal treat.,31,514,267,1,2023/1/1 9:00,2023/1/1 9:00
12,Creamy Tomato & Pepperoni Spaghetti,http://127.0.0.1:8080/images/12.png,Treat yourself to one of our tempting yet affordable Creamy Tomato & Pepperoni Spaghetti.  It make for a quick and tasty meal treat.,42,2453,236,0,2023/1/1 9:00,2023/1/1 9:00
13,Spicy Chicken Cartilage,http://127.0.0.1:8080/images/13.png,Treat yourself to one of our tempting yet affordable Spicy Chicken Cartilage.  It make for a quick and tasty meal treat.,14,2031,188,0,2023/1/1 9:00,2023/1/1 9:00
14,Chocolate Cookies,http://127.0.0.1:8080/images/14.png,Treat yourself to one of our tempting yet affordable Chocolate Cookies.  It make for a quick and tasty meal treat.,99,856,490,1,2023/1/1 9:00,2023/1/1 9:00
15,Cold Teas,http://127.0.0.1:8080/images/15.png,Treat yourself to one of our tempting yet affordable Cold Teas.  It make for a quick and tasty meal treat.,67,434,376,0,2023/1/1 9:00,2023/1/1 9:00
16,Original Toast,http://127.0.0.1:8080/images/16.png,Treat yourself to one of our tempting yet affordable Original Toast.  It make for a quick and tasty meal treat.,66,2416,50,1,2023/1/1 9:00,2023/1/1 9:00
17,Wireless Bluetooth Earbuds,http://127.0.0.1:8080/images/17.png,Treat yourself to one of our tempting yet affordable Wireless Bluetooth Earbuds.  It make for a quick and tasty meal treat.,18,1769,276,0,2023/1/1 9:00,2023/1/1 9:00
18,Original Toast,http://127.0.0.1:8080/images/18.png,Treat yourself to one of our tempting yet affordable Original Toast.  It make for a quick and tasty meal treat.,48,1693,409,1,2023/1/1 9:00,2023/1/1 9:00
19,Lattes,http://127.0.0.1:8080/images/19.png,Treat yourself to one of our tempting yet affordable Lattes.  It make for a quick and tasty meal treat.,14,2470,259,1,2023/1/1 9:00,2023/1/1 9:00
20,Milk Cream Roll Cake,http://127.0.0.1:8080/images/20.png,Treat yourself to one of our tempting yet affordable Milk Cream Roll Cake.  It make for a quick and tasty meal treat.,38,2712,60,1,2023/1/1 9:00,2023/1/1 9:00
21,Lattes,http://127.0.0.1:8080/images/21.png,Treat yourself to one of our tempting yet affordable Lattes.  It make for a quick and tasty meal treat.,85,398,150,1,2023/1/1 9:00,2023/1/1 9:00
22,Coconut Cream Puff with Oreo Cookies,http://127.0.0.1:8080/images/22.png,Treat yourself to one of our tempting yet affordable Coconut Cream Puff with Oreo Cookies.  It make for a quick and tasty meal treat.,70,1723,243,0,2023/1/1 9:00,2023/1/1 9:00
23,Tiramisu cup,http://127.0.0.1:8080/images/23.png,Treat yourself to one of our tempting yet affordable Tiramisu cup.  It make for a quick and tasty meal treat.,97,2946,60,1,2023/1/1 9:00,2023/1/1 9:00
24,BBQ Pork Skewer,http://127.0.0.1:8080/images/24.png,Treat yourself to one of our tempting yet affordable BBQ Pork Skewer.  It make for a quick and tasty meal treat.,33,2953,159,1,2023/1/1 9:00,2023/1/1 9:00
25,Basque Cheese Cake,http://127.0.0.1:8080/images/25.png,Treat yourself to one of our tempting yet affordable Basque Cheese Cake.  It make for a quick and tasty meal treat.,95,2452,207,1,2023/1/1 9:00,2023/1/1 9:00
26,Organic Green Tea,http://127.0.0.1:8080/images/26.png,Treat yourself to one of our tempting yet affordable Organic Green Tea.  It make for a quick and tasty meal treat.,66,2617,147,0,2023/1/1 9:00,2023/1/1 9:00
27,Original Toast,http://127.0.0.1:8080/images/27.png,Treat yourself to one of our tempting yet affordable Original Toast.  It make for a quick and tasty meal treat.,90,1516,376,1,2023/1/1 9:00,2023/1/1 9:00
28,Awayuki Strawberry Mini Cream Puff,http://127.0.0.1:8080/images/28.png,Treat yourself to one of our tempting yet affordable Awayuki Strawberry Mini Cream Puff.  It make for a quick and tasty meal treat.,21,1054,397,1,2023/1/1 9:00,2023/1/1 9:00
29,Cold Teas,http://127.0.0.1:8080/images/29.png,Treat yourself to one of our tempting yet affordable Cold Teas.  It make for a quick and tasty meal treat.,36,490,69,0,2023/1/1 9:00,2023/1/1 9:00
30,Creamy Carbonara Spaghetti,http://127.0.0.1:8080/images/30.png,Treat yourself to one of our tempting yet affordable Creamy Carbonara Spaghetti.  It make for a quick and tasty meal treat.,87,1971,124,1,2023/1/1 9:00,2023/1/1 9:00
31,Cold Teas,http://127.0.0.1:8080/images/31.png,Treat yourself to one of our tempting yet affordable Cold Teas.  It make for a quick and tasty meal treat.,53,1355,164,1,2023/1/1 9:00,2023/1/1 9:00
32,Tiramisu cup,http://127.0.0.1:8080/images/32.png,Treat yourself to one of our tempting yet affordable Tiramisu cup.  It make for a quick and tasty meal treat.,58,1248,99,1,2023/1/1 9:00,2023/1/1 9:00
33,Classic Hot Dog,http://127.0.0.1:8080/images/33.png,Treat yourself to one of our tempting yet affordable Classic Hot Dog.  It make for a quick and tasty meal treat.,92,2538,443,1,2023/1/1 9:00,2023/1/1 9:00
34,Milk Cream Roll Cake,http://127.0.0.1:8080/images/34.png,Treat yourself to one of our tempting yet affordable Milk Cream Roll Cake.  It make for a quick and tasty meal treat.,52,2352,434,0,2023/1/1 9:00,2023/1/1 9:00
35,Classic Hot Dog,http://127.0.0.1:8080/images/35.png,Treat yourself to one of our tempting yet affordable Classic Hot Dog.  It make for a quick and tasty meal treat.,93,197,354,1,2023/1/1 9:00,2023/1/1 9:00
36,Coconut Cream Puff with Oreo Cookies,http://127.0.0.1:8080/images/36.png,Treat yourself to one of our tempting yet affordable Coconut Cream Puff with Oreo Cookies.  It make for a quick and tasty meal treat.,30,1721,259,1,2023/1/1 9:00,2023/1/1 9:00
37,Chocolate Cookies,http://127.0.0.1:8080/images/37.png,Treat yourself to one of our tempting yet affordable Chocolate Cookies.  It make for a quick and tasty meal treat.,47,2357,207,1,2023/1/1 9:00,2023/1/1 9:00
38,Classic Hot Dog,http://127.0.0.1:8080/images/38.png,Treat yourself to one of our tempting yet affordable Classic Hot Dog.  It make for a quick and tasty meal treat.,56,2591,335,1,2023/1/1 9:00,2023/1/1 9:00
39,Basque Cheese Cake,http://127.0.0.1:8080/images/39.png,Treat yourself to one of our tempting yet affordable Basque Cheese Cake.  It make for a quick and tasty meal treat.,30,1759,93,0,2023/1/1 9:00,2023/1/1 9:00
40,Chicken Sandwich,http://127.0.0.1:8080/images/40.png,Treat yourself to one of our tempting yet affordable Chicken Sandwich.  It make for a quick and tasty meal treat.,57,2434,101,1,2023/1/1 9:00,2023/1/1 9:00
41,Portable External Phone Charger,http://127.0.0.1:8080/images/41.png,Treat yourself to one of our tempting yet affordable Portable External Phone Charger.  It make for a quick and tasty meal treat.,23,2909,368,1,2023/1/1 9:00,2023/1/1 9:00
42,Creamy Carbonara Spaghetti,http://127.0.0.1:8080/images/42.png,Treat yourself to one of our tempting yet affordable Creamy Carbonara Spaghetti.  It make for a quick and tasty meal treat.,86,574,250,1,2023/1/1 9:00,2023/1/1 9:00
43,Donuts,http://127.0.0.1:8080/images/43.png,Treat yourself to one of our tempting yet affordable Donuts.  It make for a quick and tasty meal treat.,77,2624,240,1,2023/1/1 9:00,2023/1/1 9:00
